120 | 120 g de sucre semoule @ QUANTITY
tomates | 400 g de tomates pelees @ INGREDIENT
pelees | 400 g de tomates pelees @ NONE
2 | 2 tranches de jambon blanc sans couenne @ QUANTITY
tranches | 2 tranches de jambon blanc sans couenne @ NONE
de | 2 tranches de jambon blanc sans couenne @ NONE
jambon | 2 tranches de jambon blanc sans couenne @ INGREDIENT
blanc | 2 tranches de jambon blanc sans couenne @ INGREDIENT
sans | 2 tranches de jambon blanc sans couenne @ NONE
couenne | 2 tranches de jambon blanc sans couenne @ NONE
10 | 10 champignons de Paris frais @ QUANTITY
champignons | 10 champignons de Paris frais @ INGREDIENT
de | 10 champignons de Paris frais @ NONE
Paris | 10 champignons de Paris frais @ INGREDIENT
frais | 10 champignons de Paris frais @ NONE
1/3 | 1/3 oignons @ QUANTITY
oignons | 1/3 oignons @ INGREDIENT
1/2 | 1/2 poivrons verts petit @ QUANTITY
poivrons | 1/2 poivrons verts petit @ INGREDIENT
verts | 1/2 poivrons verts petit @ INGREDIENT
petit | 1/2 poivrons verts petit @ NONE
40 | 40 g de gruyere @ QUANTITY
g | 40 g de gruyere @ UNIT
de | 40 g de gruyere @ NONE
gruyere | 40 g de gruyere @ INGREDIENT
1 | 1 pincees de curry @ QUANTITY
pincees | 1 pincees de curry @ NONE
de | 1 pincees de curry @ NONE
curry | 1 pincees de curry @ INGREDIENT
4 | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ QUANTITY
 | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
grosses | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
pommes | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ INGREDIENT
de | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
terre | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ INGREDIENT
pelees | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
et | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
coupees | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
en | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
cubes | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
680 | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
g/4 | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
tasses | 4  grosses pommes de terre pelees et coupees en cubes 680 g/4 tasses @ NONE
40 | 40 g  3 c. a soupe de beurre @ QUANTITY
g | 40 g  3 c. a soupe de beurre @ UNIT
 | 40 g  3 c. a soupe de beurre @ NONE
3 | 40 g  3 c. a soupe de beurre @ NONE
c. | 40 g  3 c. a soupe de beurre @ NONE
a | 40 g  3 c. a soupe de beurre @ NONE
soupe | 40 g  3 c. a soupe de beurre @ NONE
de | 40 g  3 c. a soupe de beurre @ NONE
beurre | 40 g  3 c. a soupe de beurre @ INGREDIENT
45 | 45 ml 3 c. a soupe de creme 15 % ou de lait @ QUANTITY
ml | 45 ml 3 c. a soupe de creme 15 % ou de lait @ UNIT
3 | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
c. | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
a | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
soupe | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
de | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
creme | 45 ml 3 c. a soupe de creme 15 % ou de lait @ INGREDIENT
15 % | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
ou | 45 ml 3 c. a soupe de creme 15 % ou de lait @ OR
de | 45 ml 3 c. a soupe de creme 15 % ou de lait @ NONE
lait | 45 ml 3 c. a soupe de creme 15 % ou de lait @ INGREDIENT
Sel | Sel @ INGREDIENT
675 | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ QUANTITY
g | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ UNIT
1 | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
½ | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
lb | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
de | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
poisson | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ INGREDIENT
blanc | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ INGREDIENT
sans | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
la | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
peau | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
comme | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
le | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ OR
dore | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ INGREDIENT
de | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
lac | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ INGREDIENT
ou | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ OR
la | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
morue, | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ INGREDIENT
coupe | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
en | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
cubes | 675 g 1 ½ lb de poisson blanc sans la peau comme le dore de lac ou la morue, coupe en cubes @ NONE
1 | 1  petit poireau, emince @ QUANTITY
 | 1  petit poireau, emince @ NONE
petit | 1  petit poireau, emince @ NONE
poireau, | 1  petit poireau, emince @ INGREDIENT
emince | 1  petit poireau, emince @ NONE
1 | 1  branche de celeri, emincee @ QUANTITY
 | 1  branche de celeri, emincee @ NONE
branche | 1  branche de celeri, emincee @ NONE
de | 1  branche de celeri, emincee @ NONE
celeri, | 1  branche de celeri, emincee @ INGREDIENT
emincee | 1  branche de celeri, emincee @ NONE
1 | 1  echalote francaise, hachee @ QUANTITY
 | 1  echalote francaise, hachee @ NONE
echalote | 1  echalote francaise, hachee @ INGREDIENT
francaise, | 1  echalote francaise, hachee @ NONE
hachee | 1  echalote francaise, hachee @ NONE
1 | 1  gousse d'ail, hachee finement @ QUANTITY
 | 1  gousse d'ail, hachee finement @ NONE
gousse | 1  gousse d'ail, hachee finement @ NONE
d' | 1  gousse d'ail, hachee finement @ NONE
ail, | 1  gousse d'ail, hachee finement @ INGREDIENT
hachee | 1  gousse d'ail, hachee finement @ NONE
finement | 1  gousse d'ail, hachee finement @ NONE
55 | 55 g  ¼ tasse de beurre @ QUANTITY
g | 55 g  ¼ tasse de beurre @ UNIT
 | 55 g  ¼ tasse de beurre @ NONE
¼ | 55 g  ¼ tasse de beurre @ NONE
tasse | 55 g  ¼ tasse de beurre @ NONE
de | 55 g  ¼ tasse de beurre @ NONE
beurre | 55 g  ¼ tasse de beurre @ INGREDIENT
45 | 45 ml 3 c. a soupe de vin blanc @ QUANTITY
ml | 45 ml 3 c. a soupe de vin blanc @ UNIT
3 | 45 ml 3 c. a soupe de vin blanc @ NONE
c. | 45 ml 3 c. a soupe de vin blanc @ NONE
a | 45 ml 3 c. a soupe de vin blanc @ NONE
soupe | 45 ml 3 c. a soupe de vin blanc @ NONE
de | 45 ml 3 c. a soupe de vin blanc @ NONE
vin | 45 ml 3 c. a soupe de vin blanc @ INGREDIENT
blanc | 45 ml 3 c. a soupe de vin blanc @ INGREDIENT
180 | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ QUANTITY
ml | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ UNIT
¾ | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
tasse | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
de | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
bouillon | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ INGREDIENT
de | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
poulet | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ INGREDIENT
ou | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
de | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
legumes | 180 ml ¾ tasse de bouillon de poulet ou de legumes @ NONE
75 | 75 ml 1/3 tasse de creme 15 % @ QUANTITY
ml | 75 ml 1/3 tasse de creme 15 % @ UNIT
1/3 | 75 ml 1/3 tasse de creme 15 % @ NONE
tasse | 75 ml 1/3 tasse de creme 15 % @ NONE
de | 75 ml 1/3 tasse de creme 15 % @ NONE
creme | 75 ml 1/3 tasse de creme 15 % @ INGREDIENT
15 % | 75 ml 1/3 tasse de creme 15 % @ NONE
Poivre | Poivre @ INGREDIENT
1 | 1 kg 2,2 lb de parures de poisson tetes, aretes @ QUANTITY
kg | 1 kg 2,2 lb de parures de poisson tetes, aretes @ UNIT
2,2 | 1 kg 2,2 lb de parures de poisson tetes, aretes @ NONE
lb | 1 kg 2,2 lb de parures de poisson tetes, aretes @ NONE
de | 1 kg 2,2 lb de parures de poisson tetes, aretes @ NONE
parures | 1 kg 2,2 lb de parures de poisson tetes, aretes @ INGREDIENT
de | 1 kg 2,2 lb de parures de poisson tetes, aretes @ NONE
poisson | 1 kg 2,2 lb de parures de poisson tetes, aretes @ INGREDIENT
tetes, | 1 kg 2,2 lb de parures de poisson tetes, aretes @ NONE
aretes | 1 kg 2,2 lb de parures de poisson tetes, aretes @ NONE
95 | 95 g  1 tasse de vert de poireau emince @ QUANTITY
g | 95 g  1 tasse de vert de poireau emince @ UNIT
 | 95 g  1 tasse de vert de poireau emince @ NONE
1 | 95 g  1 tasse de vert de poireau emince @ NONE
tasse | 95 g  1 tasse de vert de poireau emince @ NONE
de | 95 g  1 tasse de vert de poireau emince @ NONE
vert | 95 g  1 tasse de vert de poireau emince @ NONE
de | 95 g  1 tasse de vert de poireau emince @ NONE
poireau | 95 g  1 tasse de vert de poireau emince @ INGREDIENT
emince | 95 g  1 tasse de vert de poireau emince @ NONE
1 | 1  petit oignon, emince @ QUANTITY
 | 1  petit oignon, emince @ NONE
petit | 1  petit oignon, emince @ NONE
oignon, | 1  petit oignon, emince @ INGREDIENT
emince | 1  petit oignon, emince @ NONE
1 | 1  branche de celeri, emincee @ QUANTITY
 | 1  branche de celeri, emincee @ NONE
branche | 1  branche de celeri, emincee @ NONE
de | 1  branche de celeri, emincee @ NONE
celeri, | 1  branche de celeri, emincee @ INGREDIENT
emincee | 1  branche de celeri, emincee @ NONE
2 | 2  gousses d'ail, coupees en deux @ QUANTITY
 | 2  gousses d'ail, coupees en deux @ NONE
gousses | 2  gousses d'ail, coupees en deux @ NONE
d' | 2  gousses d'ail, coupees en deux @ NONE
ail, | 2  gousses d'ail, coupees en deux @ INGREDIENT
coupees | 2  gousses d'ail, coupees en deux @ NONE
en | 2  gousses d'ail, coupees en deux @ NONE
deux | 2  gousses d'ail, coupees en deux @ NONE
1 | 1  feuille de laurier @ QUANTITY
 | 1  feuille de laurier @ NONE
feuille | 1  feuille de laurier @ NONE
de | 1  feuille de laurier @ NONE
laurier | 1  feuille de laurier @ INGREDIENT
1 | 1  branche de thym @ QUANTITY
 | 1  branche de thym @ NONE
branche | 1  branche de thym @ NONE
de | 1  branche de thym @ NONE
thym | 1  branche de thym @ INGREDIENT
30 | 30 ml 2 c. a soupe de beurre @ QUANTITY
ml | 30 ml 2 c. a soupe de beurre @ UNIT
2 | 30 ml 2 c. a soupe de beurre @ NONE
c. | 30 ml 2 c. a soupe de beurre @ NONE
a | 30 ml 2 c. a soupe de beurre @ NONE
soupe | 30 ml 2 c. a soupe de beurre @ NONE
de | 30 ml 2 c. a soupe de beurre @ NONE
beurre | 30 ml 2 c. a soupe de beurre @ INGREDIENT
1,5 | 1,5 litre 6 tasses d'eau @ QUANTITY
litre | 1,5 litre 6 tasses d'eau @ UNIT
6 | 1,5 litre 6 tasses d'eau @ NONE
tasses | 1,5 litre 6 tasses d'eau @ NONE
d' | 1,5 litre 6 tasses d'eau @ NONE
eau | 1,5 litre 6 tasses d'eau @ INGREDIENT
 | 1,5 litre 6 tasses d'eau @ NONE
30 | 30 ml 2 c. a soupe de jus de citron @ QUANTITY
ml | 30 ml 2 c. a soupe de jus de citron @ UNIT
2 | 30 ml 2 c. a soupe de jus de citron @ NONE
c. | 30 ml 2 c. a soupe de jus de citron @ NONE
a | 30 ml 2 c. a soupe de jus de citron @ NONE
soupe | 30 ml 2 c. a soupe de jus de citron @ NONE
de | 30 ml 2 c. a soupe de jus de citron @ NONE
jus | 30 ml 2 c. a soupe de jus de citron @ NONE
de | 30 ml 2 c. a soupe de jus de citron @ NONE
citron | 30 ml 2 c. a soupe de jus de citron @ INGREDIENT
600 | 600 g de lieu noir ou de cabillaud @ QUANTITY
g | 600 g de lieu noir ou de cabillaud @ UNIT
de | 600 g de lieu noir ou de cabillaud @ NONE
lieu | 600 g de lieu noir ou de cabillaud @ INGREDIENT
noir | 600 g de lieu noir ou de cabillaud @ INGREDIENT
ou | 600 g de lieu noir ou de cabillaud @ OR
de | 600 g de lieu noir ou de cabillaud @ NONE
cabillaud | 600 g de lieu noir ou de cabillaud @ INGREDIENT
400 | 400 g de champignons de Paris en boite @ QUANTITY
g | 400 g de champignons de Paris en boite @ UNIT
de | 400 g de champignons de Paris en boite @ NONE
champignons | 400 g de champignons de Paris en boite @ INGREDIENT
de | 400 g de champignons de Paris en boite @ NONE
Paris | 400 g de champignons de Paris en boite @ INGREDIENT
en | 400 g de champignons de Paris en boite @ NONE
boite | 400 g de champignons de Paris en boite @ NONE
1 | 1 oignons @ QUANTITY
oignons | 1 oignons @ INGREDIENT
15 | 15 cl de vin blanc @ QUANTITY
cl | 15 cl de vin blanc @ UNIT
de | 15 cl de vin blanc @ NONE
vin | 15 cl de vin blanc @ INGREDIENT
blanc | 15 cl de vin blanc @ INGREDIENT
15 | 15 cl de creme fraiche liquide @ QUANTITY
cl | 15 cl de creme fraiche liquide @ UNIT
de | 15 cl de creme fraiche liquide @ NONE
creme | 15 cl de creme fraiche liquide @ INGREDIENT
fraiche | 15 cl de creme fraiche liquide @ INGREDIENT
liquide | 15 cl de creme fraiche liquide @ NONE
poivre | poivre @ INGREDIENT
sel | sel @ INGREDIENT
bouquet | bouquet garni @ INGREDIENT
garni | bouquet garni @ INGREDIENT
farine | farine et de beurre @ INGREDIENT
et | farine et de beurre @ AND
de | farine et de beurre @ NONE
beurre | farine et de beurre @ INGREDIENT
1 | 1 oignon, hache finement @ QUANTITY
oignon, | 1 oignon, hache finement @ INGREDIENT
hache | 1 oignon, hache finement @ NONE
finement | 1 oignon, hache finement @ NONE
75 | 75 ml 1/3 tasse d'huile d'olive @ QUANTITY
ml | 75 ml 1/3 tasse d'huile d'olive @ UNIT
1/3 | 75 ml 1/3 tasse d'huile d'olive @ NONE
tasse | 75 ml 1/3 tasse d'huile d'olive @ NONE
d'| 75 ml 1/3 tasse d'huile d'olive @ NONE
huile | 75 ml 1/3 tasse d'huile d'olive @ INGREDIENT
d' | 75 ml 1/3 tasse d'huile d'olive @ NONE
olive | 75 ml 1/3 tasse d'huile d'olive @ NONE
2 | 2 gousses d'ail, hachees finement @ QUANTITY
gousses | 2 gousses d'ail, hachees finement @ NONE
d' | 2 gousses d'ail, hachees finement @ INGREDIENT
ail, | 2 gousses d'ail, hachees finement @ INGREDIENT
hachees | 2 gousses d'ail, hachees finement @ NONE
finement | 2 gousses d'ail, hachees finement @ NONE
15 | 15 ml 1 c. a soupe de pate de tomates @ QUANTITY
ml | 15 ml 1 c. a soupe de pate de tomates @ UNIT
1 | 15 ml 1 c. a soupe de pate de tomates @ NONE
c. | 15 ml 1 c. a soupe de pate de tomates @ NONE
a | 15 ml 1 c. a soupe de pate de tomates @ NONE
soupe | 15 ml 1 c. a soupe de pate de tomates @ NONE
de | 15 ml 1 c. a soupe de pate de tomates @ NONE
pate | 15 ml 1 c. a soupe de pate de tomates @ INGREDIENT
de | 15 ml 1 c. a soupe de pate de tomates @ NONE
tomates | 15 ml 1 c. a soupe de pate de tomates @ INGREDIENT
15 | 15 ml 1 c. a soupe de garam masala @ QUANTITY
ml | 15 ml 1 c. a soupe de garam masala @ UNIT
1 | 15 ml 1 c. a soupe de garam masala @ NONE
c. | 15 ml 1 c. a soupe de garam masala @ NONE
a | 15 ml 1 c. a soupe de garam masala @ NONE
soupe | 15 ml 1 c. a soupe de garam masala @ NONE
de | 15 ml 1 c. a soupe de garam masala @ NONE
garam | 15 ml 1 c. a soupe de garam masala @ INGREDIENT
masala | 15 ml 1 c. a soupe de garam masala @ INGREDIENT
1 | 1 ml 1/4 c. a the de poivre de Cayenne @ QUANTITY
ml | 1 ml 1/4 c. a the de poivre de Cayenne @ UNIT
1/4 | 1 ml 1/4 c. a the de poivre de Cayenne @ NONE
c. | 1 ml 1/4 c. a the de poivre de Cayenne @ NONE
a | 1 ml 1/4 c. a the de poivre de Cayenne @ NONE
the | 1 ml 1/4 c. a the de poivre de Cayenne @ NONE
de | 1 ml 1/4 c. a the de poivre de Cayenne @ NONE
poivre | 1 ml 1/4 c. a the de poivre de Cayenne @ INGREDIENT
de | 1 ml 1/4 c. a the de poivre de Cayenne @ NONE
Cayenne | 1 ml 1/4 c. a the de poivre de Cayenne @ INGREDIENT
250 | 250 ml 1 tasse de bouillon de poulet @ QUANTITY
ml | 250 ml 1 tasse de bouillon de poulet @ UNIT
1 | 250 ml 1 tasse de bouillon de poulet @ NONE
tasse | 250 ml 1 tasse de bouillon de poulet @ NONE
de | 250 ml 1 tasse de bouillon de poulet @ NONE
bouillon | 250 ml 1 tasse de bouillon de poulet @ INGREDIENT
de | 250 ml 1 tasse de bouillon de poulet @ NONE
poulet | 250 ml 1 tasse de bouillon de poulet @ INGREDIENT
1 | 1 poivron rouge, epepine et coupe en julienne @ QUANTITY
poivron | 1 poivron rouge, epepine et coupe en julienne @ INGREDIENT
rouge, | 1 poivron rouge, epepine et coupe en julienne @ INGREDIENT
epepine | 1 poivron rouge, epepine et coupe en julienne @ NONE
et | 1 poivron rouge, epepine et coupe en julienne @ NONE
coupe | 1 poivron rouge, epepine et coupe en julienne @ NONE
en | 1 poivron rouge, epepine et coupe en julienne @ NONE
julienne | 1 poivron rouge, epepine et coupe en julienne @ NONE
454 | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ QUANTITY
g | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ UNIT
1 | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
lb | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
de | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
tilapia | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ INGREDIENT
coupe | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
en | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
gros | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
cubes | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
ou | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ OR
autre | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
poisson | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ INGREDIENT
blanc | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ INGREDIENT
a | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
chair | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
ferme | 454 g 1 lb de tilapia coupe en gros cubes ou autre poisson blanc a chair ferme @ NONE
Sel | Sel et poivre @ INGREDIENT
et | Sel et poivre @ AND
poivre | Sel et poivre @ INGREDIENT
1 | 1 citrons @ QUANTITY
citrons | 1 citrons @ INGREDIENT
20 | 20 cl de creme fraiche @ QUANTITY
cl | 20 cl de creme fraiche @ UNIT
de | 20 cl de creme fraiche @ NONE
creme | 20 cl de creme fraiche @ INGREDIENT
fraiche | 20 cl de creme fraiche @ INGREDIENT
100 | 100 g de beurre @ QUANTITY
g | 100 g de beurre @ UNIT
de | 100 g de beurre @ NONE
beurre | 100 g de beurre @ INGREDIENT
454 | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ QUANTITY
g | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ UNIT
1 | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
lb | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
de | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
filets | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
d' | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
aiglefin | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ INGREDIENT
frais, | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
coupes | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
en | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
morceaux | 454 g 1 lb de filets d'aiglefin frais, coupes en morceaux @ NONE
4 | 4 oeufs @ QUANTITY
oeufs | 4 oeufs @ INGREDIENT
250 | 250 ml 1 tasse de creme 35% a cuisson @ QUANTITY
ml | 250 ml 1 tasse de creme 35% a cuisson @ UNIT
1 | 250 ml 1 tasse de creme 35% a cuisson @ NONE
tasse | 250 ml 1 tasse de creme 35% a cuisson @ NONE
de | 250 ml 1 tasse de creme 35% a cuisson @ NONE
creme | 250 ml 1 tasse de creme 35% a cuisson @ INGREDIENT
35% | 250 ml 1 tasse de creme 35% a cuisson @ NONE
a | 250 ml 1 tasse de creme 35% a cuisson @ INGREDIENT
cuisson | 250 ml 1 tasse de creme 35% a cuisson @ INGREDIENT
60 | 60 ml 1/4 tasse de ciboulette fraiche, ciselee @ QUANTITY
ml | 60 ml 1/4 tasse de ciboulette fraiche, ciselee @ UNIT
1/4 | 60 ml 1/4 tasse de ciboulette fraiche, ciselee @ NONE
tasse | 60 ml 1/4 tasse de ciboulette fraiche, ciselee @ NONE
de | 60 ml 1/4 tasse de ciboulette fraiche, ciselee @ NONE
